Raster,Red,Green,Blue,NIR,FC,NDVIf,TSAVIm,TSAVIg,c_depth,CH,AVI,BAI,BCC,BITM,BIXS,BNDVI,CIG,CVI,DSWI4,DVI,EVI,EVI2,ExG,ExGR,ExR,FCVI,GARI,GBNDVI,GCC,GEMI,GLI,GNDVI,GOSAVI,GRNDVI,GRVI,IKAW,IPVI,MCARI1,MCARI2,MGRVI,MRBVI,MSAVI,MSR,MTVI1,MTVI2,NDDI,NDGlaI,NDSII,NDTI,NDVI,NDWI,NDYI,NGRDI,NIRv,NLI,NormG,NormNIR,NormR,OSAVI,PISI,RCC,RDVI,RGBVI,RGRI,RI,RI4XS,SAVI,SI,SR,SR2,TDVI,TGI,TVI,TriVI,VARI,VIG,VgNIRBI,VrNIRBI,LAI,ACF_apc_sc
RIP_180805_1044_0015.tif,0.045015533447265624,0.060540112304687504,0.03636248016357422,0.4536073974609375,0.4236111111111111,0.5220941051529163,3.567370988482827,2.2424441495875076,0.6790754318237262,1.1958621537685394,0.5592745968738859,6.321808878145287,0.26030947885670164,0.04876472945594135,0.053515254351922226,0.8489772255876369,6.685764480889288,5.9044921126018926,1.3504327742063131,0.4013795150756836,0.683485589441769,0.6355322782013274,0.03585799713134766,0.03296944274902344,-0.002130583190917964,0.40551731516520184,0.9638897976771479,0.6488377691697964,0.4157501030838017,0.8722149431886599,0.1746426139392629,0.7697381690423137,0.5787402630307739,0.6304262417376703,7.685764480889288,0.09215030231368922,0.9121438618198356,0.589715965576172,0.6151790171875225,0.29170160229634734,0.18274876092275447,0.6329637019487189,2.7809474275194925,0.5897159655761719,0.6151790171875224,28.073149022597097,0.14909287261631698,-0.7697381690423137,-0.14909287261631698,0.8242877236396715,-0.7697381690423137,0.24102707511375124,0.14909287261631698,0.3564721541952889,0.6359425935971288,0.10593591646240189,0.8152131208688351,0.07850500438681077,0.6136850472784829,-0.15584620638916016,0.3137253014164592,0.5664165989962733,0.3537807193304152,0.7405033550080882,-0.14909287261631698,171.2971466101984,0.6003464523266164,0.9522430687254104,10.382244074039317,7.685764480889288,0.6863793498675287,1.8839861984252932,1.1507770086302807,24.32338635253906,0.23187703308352225,0.14909287261631698,-0.7697381690423137,-0.8242877236396715,3.43,0.72
RIP_180805_1044_0016.tif,0.05707031860351563,0.062244195556640625,0.03731281433105469,0.415056591796875,0.3732638888888889,0.47258368448655275,4.09335367932368,2.40550163553197,0.5516670989990189,1.0565913987159727,0.5200581339729885,7.797995413657838,0.23957966053692506,0.05358110170121667,0.059730838556808566,0.8342309239659905,5.768169487639581,6.206233014308913,1.0981674773746914,0.3573825866699219,0.6051112866504141,0.5717728254806271,0.02912897949218749,0.016672989501953103,0.011597253417968752,0.3635965861002604,0.8971419227625225,0.6133597439077123,0.3948347003776876,0.8285303802088322,0.1322766784358774,0.7425390881104841,0.5546366479712297,0.5595254087711363,6.768169487639581,0.20840149438829664,0.8811818657308241,0.5199535539550781,0.5212043299715192,0.09337010000880026,0.39945421952298366,0.5623854023599003,2.2116727282888506,0.5199535539550781,0.5212043299715194,58.03242389005643,0.04678724574337716,-0.7425390881104841,-0.04678724574337716,0.7623637314616482,-0.7425390881104841,0.2466238818340888,0.04678724574337716,0.3119754119364685,0.5069276155119948,0.11477430162171268,0.7797627043855682,0.10514611052422516,0.5655705708802617,-0.13260301666015623,0.3617042974481863,0.5176114329883434,0.2803203683862777,0.9106079178292794,-0.04678724574337716,217.08733764693008,0.5481192825491682,0.9474579211972802,7.4162237199799455,6.768169487639581,0.6249247905386974,1.6286511535644532,1.1235496123721678,21.590336547851567,0.06829768197787991,0.04678724574337716,-0.7425390881104841,-0.7623637314616482,1.69,0.71
RIP_180805_1044_0017.tif,0.0596747802734375,0.062071124267578125,0.038312033081054686,0.39515908203125,0.3003472222222222,0.430722737471716,4.858352858565456,2.660036462789828,0.5124526977539077,1.0152219676971437,0.5015231104785364,8.773708479381122,0.23926067980483723,0.05417232843366303,0.060433306445917864,0.8277154675159266,5.489240853094394,6.384105621329938,1.0267777114532128,0.34014532470703124,0.5761585373684214,0.5522241647759936,0.024758825683593742,0.007716854858398424,0.016615783691406247,0.34293503723144536,0.8775246017507254,0.6015478167910521,0.38461453001174994,0.8099355177995381,0.11110932804810615,0.7329502363148539,0.5469452228103505,0.5307664140948717,6.489240853094394,0.2229394906514643,0.8676193548662093,0.4943723005371093,0.4919005613958543,0.026419313680654095,0.4247671951636711,0.5385123236414253,2.020766425722388,0.4943723005371093,0.491900561395854,54.282854580016576,0.013211962664624417,-0.7329502363148539,-0.013211962664624417,0.7352387097324187,-0.7329502363148539,0.23972218118573269,0.013211962664624417,0.29779067110504925,0.4503435748732542,0.11779024409801116,0.7653832070474359,0.1165200966410869,0.5454956249952058,-0.1208707003491211,0.3764432078357253,0.5025033275243607,0.2513525809212528,0.9739206342770005,-0.013211962664624417,249.74219412346363,0.5316463809749774,0.9468736086789807,6.553974366791673,6.489240853094394,0.6035037501527694,1.4552434997558599,1.1114129339414844,20.493107421875003,0.019141139929925267,0.013211962664624417,-0.7329502363148539,-0.7352387097324187,2.92,0.63
RIP_180805_1044_0018.tif,0.045020195007324224,0.05762525329589843,0.03559127197265625,0.4280821533203125,0.3541666666666667,0.480761558231737,4.855366682538527,2.6203403326885346,0.6853342056274414,1.151331479549408,0.540138704109533,7.205752561139961,0.25670077548327963,0.046649215525387165,0.05125082802604903,0.8462399049729106,6.415992659735771,5.784502724897012,1.2809322387146391,0.3840914901733399,0.6655489531177596,0.6204856705982328,0.03312498931884766,0.03180251678466798,0.0007595014953613276,0.3824701868693034,0.9497466436590121,0.6399774144349832,0.4150547790563447,0.8610280701909334,0.17325430137544742,0.7623571976479984,0.5724187720300223,0.6141044073635875,7.415992659735771,0.11815043065203785,0.905192788091864,0.570830681213379,0.5908125334399653,0.24264731690201138,0.23304761805974306,0.6163283832958472,2.631909885542007,0.5708306812133789,0.5908125334399652,33.26571569596696,0.12316442251482086,-0.7623571976479984,-0.12316442251482086,0.810385576183728,-0.7623571976479984,0.23279841926385159,0.12316442251482086,0.3468309448522618,0.5973217125790765,0.10887335592364178,0.8070522036817938,0.08465944533698813,0.6019548325449229,-0.14101467572021484,0.3233943189666594,0.5550291762694421,0.3437782618984089,0.7806845604824566,-0.12316442251482086,192.0210873728116,0.5884719374395769,0.9542476003500608,9.547720802843955,7.415992659735771,0.6732237720219305,1.6850927658081059,1.144720741567475,23.462254028320316,0.19412409778515977,0.12316442251482086,-0.7623571976479984,-0.810385576183728,2.78,0.76
RIP_180805_1044_0019.tif,0.05213358154296875,0.06172324829101562,0.037147856140136715,0.4208615478515625,0.3368055555555556,0.46192363876030607,5.368987267864542,2.564375059100971,0.5874579620361331,1.0818329226970673,0.528047896382543,7.530555187616965,0.24396921984777148,0.05103566519157331,0.05710286983413874,0.8405083761865721,5.831178756005276,5.701080508566804,1.1902012160004798,0.36946914825439453,0.6339588646477474,0.5976072541721862,0.0348874771118164,0.02770561599731446,0.005496137695312507,0.37179663594563805,0.9209708195413422,0.6205907450793416,0.40929889698736616,0.8453542297263328,0.1617092456970436,0.7446105967287711,0.562257394273725,0.5751865493064869,6.831178756005276,0.17181306227608067,0.8903814843451967,0.5463651877441407,0.5578153254960194,0.17238374228499603,0.33377321601178445,0.5911442266979222,2.3581816548381185,0.5463651877441406,0.5578153254960193,41.644518303403586,0.08684188888839062,-0.7446105967287711,-0.08684188888839062,0.7807629686903933,-0.7446105967287711,0.25347395206230605,0.08684188888839062,0.3302483063689916,0.5511977647007913,0.115258216946972,0.7875932746532435,0.09674323369136098,0.5846744138364792,-0.1374697550805664,0.3443503383661085,0.5374381644164892,0.33437920608873406,0.8401940744365941,-0.08684188888839062,186.18509250361848,0.5696898236201734,0.9498159415926795,8.122546780137636,6.831178756005276,0.6506776616354555,1.857483795166016,1.131707987222399,22.54426806640625,0.12957899978438625,0.08684188888839062,-0.7446105967287711,-0.7807629686903933,2.74,0.75
RIP_180805_1044_0020.tif,0.05124284057617187,0.05950050659179688,0.03558349304199219,0.423391943359375,0.3767361111111111,0.4824040753362036,5.031209671602547,2.5100714437944927,0.5897348022460989,1.092280855178833,0.5300734129143825,7.467043917943057,0.24067355781410527,0.049488023850861866,0.055523341416808134,0.8438184016743633,6.137869275309656,6.185624537920629,1.1500073045046417,0.3701462951660156,0.6275309844213264,0.5947502745088517,0.03127318420410156,0.02183885162353514,0.0073419995117187525,0.3745778452555339,0.9186224000409905,0.634477348572297,0.4025890664681107,0.8438850734098355,0.1481311984896011,0.7542354230157011,0.5634283408903386,0.5856545077777982,7.137869275309656,0.18357473399881827,0.8920846714139478,0.5427339678955078,0.5508463156243515,0.1388652174040408,0.35518001412686084,0.587479187122605,2.3870872372546463,0.5427339678955078,0.5508463156243514,51.19233857533476,0.06977060226276911,-0.7542354230157011,-0.06977060226276911,0.7841693428278954,-0.7542354230157011,0.252258915214794,0.06977060226276911,0.32822307953368646,0.5469017634495372,0.1111718674939057,0.7928272538888992,0.09625801828683272,0.5824199328371154,-0.13837643327636723,0.350811867956856,0.5349812843054386,0.3094797403445233,0.8695596941714588,-0.06977060226276911,216.80348099575448,0.5670371460222425,0.95132528393694,8.266524163919811,7.137869275309656,0.6460406968555954,1.6898935089111329,1.1332119584737426,22.473973571777343,0.10418504837817219,0.06977060226276911,-0.7542354230157011,-0.7841693428278954,2.75,0.72
RIP_180805_1044_0021.tif,0.04797919158935547,0.05793312377929688,0.035681988525390625,0.4123331298828125,0.4097222222222222,0.49916378740361567,4.532182273847255,2.70436106136375,0.7064184188842759,1.1699340641498566,0.519954654065018,7.909131735167271,0.2533195541647266,0.04825417964678019,0.05326875419212056,0.840749849041359,6.280066501894179,6.24395274843887,1.166000982551081,0.36089269866943363,0.6157096316076844,0.5814219067761173,0.029311535644531247,0.021217928161621092,0.006423805999755859,0.3622844151814779,0.9335637573465884,0.6329832376522699,0.4001918085096704,0.8341005898108815,0.14324853433916523,0.7584560461852665,0.5607802398091676,0.5925755592782329,7.280066501894179,0.1470676597093436,0.8930473337806836,0.527486747680664,0.5394866138207473,0.15238360512365734,0.2879081661773214,0.5734224797044909,2.4036932864351135,0.5274867476806641,0.5394866138207474,45.203825758932304,0.07663933266280597,-0.7584560461852665,-0.07663933266280597,0.7860946675613671,-0.7584560461852665,0.23554601543202586,0.07663933266280597,0.3186878354884286,0.5348044008729524,0.10967331737797902,0.7962877796391165,0.09507131508413508,0.5763504981111804,-0.13202062873291015,0.34339702619211965,0.5259420581064995,0.29981293875391635,0.8576323771760128,-0.07663933266280597,220.91178758264743,0.5568061218209912,0.9526615309757827,8.349930874270823,7.280066501894179,0.6337918705155172,1.5897672729492192,1.13406113911087,21.855006134033204,0.11693932029941387,0.07663933266280597,-0.7584560461852665,-0.7860946675613671,3.17,0.75
RIP_180805_1044_0022.tif,0.04687617645263672,0.057313748168945314,0.03580968780517578,0.4213331787109375,0.4166666666666667,0.5078024663665738,5.821655152044531,2.6932048721728075,0.7248650360107405,1.2164974904060362,0.5294670450604315,7.516159578341844,0.25700540773581726,0.04752971456368163,0.052512753926849856,0.8401174655152182,6.267484793938387,6.1207022780075375,1.2124929022335786,0.37089475097656255,0.6409925898507044,0.6003655179785243,0.029706951904296872,0.024599542236328136,0.003982752227783205,0.3735384201049805,0.9427776177884359,0.6339402017245073,0.40466676225340154,0.8458361370363074,0.15234946231795599,0.7580884194390759,0.566642548570429,0.6009116896432767,7.267484793938387,0.1294240877981856,0.8993629596398885,0.5465352231445312,0.5649942171848554,0.19032698203568338,0.2545837427200082,0.5943418771506119,2.5177864576981897,0.5465352231445312,0.5649942171848554,38.81905744867684,0.09604148347351771,-0.7580884194390759,-0.09604148347351771,0.7987259192797771,-0.7580884194390759,0.2243949857312294,0.09604148347351771,0.3312058423277531,0.5715693589701882,0.10991097222910054,0.8004558448216382,0.0894163412299602,0.5910235153331551,-0.1368102232373047,0.3341550659683121,0.540288930387656,0.30568332033557716,0.8247495698931603,-0.09604148347351771,212.66575123379323,0.5723008050079431,0.9532179014365916,8.936701201648042,7.267484793938387,0.6519562406959128,1.5903716354370112,1.1396165660962838,22.537433319091797,0.15036332731993116,0.09604148347351771,-0.7580884194390759,-0.7987259192797771,3.14,0.77
RIP_180805_1044_0023.tif,0.04223660888671875,0.054397442626953126,0.03577320251464844,0.439216064453125,0.4774305555555556,0.5471518748634774,4.457416364814087,2.6074105621746515,0.6070965576171901,1.1475064182281494,0.5490597643540538,6.792255793651285,0.2703770274933542,0.04466743393711268,0.04854335676765258,0.8456753794128887,6.979638247023289,6.411247012406175,1.2685690195629775,0.39354121704101563,0.6891339807419515,0.6364491148370743,0.029803616333007814,0.027664149169921874,0.0014133175659179764,0.39563731282552084,0.9661533418074887,0.6529721779804764,0.40666099460970023,0.8708351803212183,0.15638663805427985,0.7772738784145351,0.5854846301163384,0.6322088036786241,7.979638247023289,0.08494388387697661,0.9088354180388417,0.583581128540039,0.6069325571216255,0.23350131433187096,0.16867073027165969,0.6340115924792644,2.7081046045126618,0.583581128540039,0.6069325571216255,34.85732581497978,0.1183869731301873,-0.7772738784145351,-0.1183869731301873,0.8176708360776835,-0.7772738784145351,0.20711655656569222,0.1183869731301873,0.35711299418552106,0.6248252313872512,0.10224460625292194,0.8161044018393121,0.08183221049126965,0.614016793725092,-0.14754957382324219,0.322348346384803,0.5666094226195683,0.3133133639624083,0.7882897852451893,-0.1183869731301873,209.35059708073953,0.6005090046680641,0.9560255604015482,9.969172221138045,7.979638247023289,0.6874643897697182,1.5186981811523435,1.1478984432769668,24.056643005371093,0.18601718355678484,0.1183869731301873,-0.7772738784145351,-0.8176708360776835,3.7,0.69
RIP_180805_1044_0024.tif,0.04202469787597656,0.05325629272460937,0.03594638824462891,0.45314309082031246,0.40625,0.5139121168340721,4.295085663621003,2.4642827372796483,0.6713961791992205,1.1089024806022645,0.5627270292892392,6.332100464220224,0.27521620125915547,0.04421487076361002,0.04802932982414178,0.850947369730737,7.272816754168783,6.696221856923065,1.2510272952099828,0.4109451599121094,0.7059567320621392,0.6586463592599934,0.0287743148803711,0.02649393127441405,0.00212030700683594,0.4094029825846355,0.9707595308813274,0.663053978427038,0.4048962222876006,0.8886135710342316,0.1528146067171437,0.7843158065567,0.5952269601567479,0.6454585689792445,8.272816754168783,0.0742953383073667,0.9132764514880887,0.608243726623535,0.6289174664361334,0.22029395172237642,0.147774985387234,0.6532132497799039,2.806739834029327,0.6082437266235351,0.6289174664361337,38.3413193560106,0.1115167643171523,-0.7843158065567,-0.1115167643171523,0.8265529029761775,-0.7843158065567,0.1960207879347888,0.1115167643171523,0.374620731567061,0.6511727439759609,0.09951145148633772,0.8227292844896222,0.07794432215472993,0.624488864090103,-0.15546045057373048,0.32131938373274144,0.5826447126933361,0.3041274395378022,0.7993430901805192,-0.1115167643171523,216.93128289507064,0.6179185494996288,0.9564156210717347,10.530894733928022,8.272816754168783,0.7106909289428777,1.4488428573608398,1.1517607834785322,25.078326873779297,0.17796124774747518,0.1115167643171523,-0.7843158065567,-0.8265529029761775,4.08,0.64
