Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435736 / CH"
5,0.4678649,"(NDVIf * 7.3720574) / CH"
7,0.38882822,"NDVIf * ((CH * -4.828641) + 12.533812)"
9,0.36983544,"((CH * -1.7424678) + 4.725571) * (GEMI + FC)"
11,0.34971848,"(GEMI * ((CH * -2.6126122) + 5.7905374)) + (FC * 2.509955)"
13,0.3354657,"((CH / -0.43695077) - -4.075087) + (3.217453 / ((0.19563581 / FC) + 1.0698398))"
15,0.32827547,"((CH / -0.45849594) + 3.5242608) + (NIR + (3.6669714 / ((0.22433284 / FC) + 1.2359895)))"
17,0.31636813,"((CH / -1.3287886) + (TDVI + ((3.336477 / ((0.013234021 / FC) + CH)) + FC))) + FC"
19,0.3077052,"((FC + (CH / -0.90672934)) + TDVI) + (FC + (6.777615 / (CH + (IPVI + (0.015143445 / FC)))))"
21,0.29895034,"((SAVI * 2.4753325) + (MRBVI + 2.5000887)) + ((CH / NDSII) / ((IKAW * ((NDYI * -1.6903424) + FC)) - -1.5298164))"
23,0.29546997,"((SAVI * 2.346028) + 2.6602008) + (MRBVI + ((CH / NDSII) / ((IKAW * (FC + (NDYI * (-0.7658745 - NormNIR)))) - -1.4261079)))"
25,0.28125632,"((2.3730237 / ((BITM / FC) + CH)) + (MRBVI + ((CH / NDWI) / ((FC + 3.1427948) - (NDYI * 2.8661747))))) + (SAVI * 2.9466577)"
27,0.2745623,"((2.0340853 / (CH + (0.039184142 / FC))) + ((SAVI * 3.4591234) + MRBVI)) + ((CH / NDWI) / ((FC + 2.7524078) - ((FCVI - -2.1095767) * NDYI)))"
29,0.26798952,"((1.8136647 / (CH + (0.03786462 / FC))) + ((SAVI * 3.6315234) + MRBVI)) + ((CH / NDSII) / ((FC + 2.632665) - (DVI - (IKAW * (NDYI * -2.5482397)))))"
31,0.26346245,"(MRBVI + ((4.4549475 / ((0.042242065 / FC) + (CH - -1.1538731))) + ((CH / NDWI) / ((NDYI * (FC - (NIRv - (IKAW * -1.9944614)))) + 2.1466718)))) + (SAVI * 3.2346334)"
33,0.25913525,"(((CH / NDSII) + NDWI) / (((FC - (DVI - (IKAW * -1.7716548))) * NDYI) + 2.1690283)) + ((SAVI * 3.6514077) + ((4.8096585 / (CH + ((0.028205406 / FC) - -1.1541569))) + MRBVI))"
35,0.25842467,"((((((CH / NDSII) + NDWI) / ((NDYI * (FC - (DVI - (IKAW * -1.8678849)))) + 2.2250748)) + MRBVI) - Blue) + (SAVI * 3.6873136)) + (4.7997794 / (CH + ((0.028445298 / FC) - -1.1747035)))"
37,0.2565602,"((MRBVI + (((CH / NDSII) + NDWI) / (((FC - (DVI - (IKAW * -1.8051395))) * NDYI) + 2.1537268))) + (4.7339835 / ((0.03015209 / FC) + (CH - -1.2598631)))) + ((MRBVI / SR) + (SAVI * 3.7585478))"
39,0.25480342,"(MRBVI + ((4.886864 / ((CH - -1.2318999) + (0.02361653 / FC))) + ((MRBVI / CIG) + ((((CH / NDSII) + -0.5192363) + NDWI) / ((NDYI * (FC - (DVI - (IKAW * -1.8259549)))) + 2.2468283))))) + (SAVI * 3.932749)"
41,0.25131398,"(((MSAVI + RI) * 3.7530415) + (2.937377 / ((CH + NDVIf) + (0.043281384 / FC)))) + (MRBVI + ((CH * -2.4710011) / (((1.6249266 - (DVI - ((IKAW * IKAW) * -1.6681665))) * (-2.7049947 / ((FC + -0.31914797) - RGRI))) + GBNDVI)))"
43,0.24804318,"((MRBVI + (((CH * -1.708816) + -1.4160738) / ((((1.648617 - (DVI - ((IKAW * IKAW) * -1.673358))) * -2.2868407) / ((-0.3429546 - RGRI) + FC)) + GBNDVI))) + (3.2178147 / (CH + ((0.025922278 / FC) + NDVIf)))) + ((RI + MSAVI) * 3.9143488)"
45,0.2466282,"(((CH * -1.6068095) + -1.217677) / ((((1.5653399 - (DVI - (IKAW * (-1.6333971 * IKAW)))) * -2.4966981) / ((FC + -0.26945537) - RGRI)) + GBNDVI)) + (MRBVI + (((3.4106355 / (CH + ((0.02514568 / FC) + NDVIf))) + ((MSAVI + RI) * 4.2009826)) - 0.43337852))"
47,0.24555293,"((((MRBVI + ((RI + MSAVI) * 3.834325)) - 0.4199939) / 0.87836033) + (3.3660784 / ((0.023432983 / FC) + (CH + NDVIf)))) + (((CH * -1.5096524) + -1.6063054) / (GNDVI + ((1.5698639 - (DVI - ((IKAW * -1.6369171) * IKAW))) * (-2.3942256 / ((FC + -0.28156975) - RGRI)))))"
49,0.24542645,"((((MRBVI + ((RI + MSAVI) * 3.8582544)) - 0.39331672) / 0.88211733) + ((3.375705 / ((0.023620011 / FC) + (CH + NDVIf))) + (((CH * -1.5057287) + -1.5925167) / (GNDVI + (((1.5790194 - (DVI - (IKAW * (IKAW * -1.6526898)))) * -2.4023602) / ((FC + -0.284109) - RGRI)))))) - BITM"
