Raster,LAI,PySR_b3,Euqa_b3,PySR_b5,Euqa_b5,ensemble_mean,ensemble_geo_mean
BAR_190627_1041_0001,1.47,1.5191578008142343,1.4568191915454283,1.640359073596513,1.7760632549651834,1.4879884961798313,1.4876620043585584
BAR_190627_1041_0002,1.5,1.4632993704204524,1.4018109673652315,1.579908626712734,1.7139662162771434,1.432555168892842,1.4322252287940012
BAR_190627_1041_0003,1.18,1.1407740675910212,1.0724206054775056,1.238148579955638,1.332552412359492,1.1065973365342634,1.106069444600564
BAR_190627_1041_0004,1.16,1.13756504305056,1.0601335543154309,1.2487654483115873,1.3677392265276804,1.0988492986829954,1.098167051205861
BAR_190627_1041_0005,1.19,0.9560354406963074,0.9262496558920339,0.9405143084699528,0.875258932230345,0.9411425482941707,0.9410247063523591
BAR_190627_1041_0006,1.65,1.4142301539870448,1.3908638415356802,1.3000103358593318,1.500688983536457,1.4025469977613625,1.4024983368225497
BAR_190627_1041_0007,1.38,1.290032771808557,1.2888078428350935,1.144760644659143,1.395329988653744,1.289420307321825,1.2894201618639143
BAR_190627_1041_0008,1.17,0.8816117078811531,0.8545261924266754,0.7629731692517668,0.7939200395370332,0.8680689501539143,0.8679633033339947
BAR_190627_1041_0009,1.14,1.0280878547059906,0.9946475122538474,1.0254814671388306,1.1519281104713075,1.011367683479919,1.011229463109985
BAR_190627_1041_0010,1.35,0.8274994627708191,0.7912413189439285,0.8007505854920891,0.8428994767922542,0.8093703908573737,0.8091673290167956
BAR_190627_1041_0011,1.35,1.2033662613160785,1.1813226109759523,1.1523435018566854,1.3569197202060006,1.1923444361460154,1.1922934931376081
BAR_190627_1041_0012,1.45,1.2588266995002537,1.2584625697572043,1.139246575108787,1.3257809114783705,1.258644634628729,1.2586446214607478
BAR_190627_1041_0013,1.71,1.3802610263909476,1.3546246166944047,1.4536920801749194,1.542741798316476,1.3674428215426762,1.3673827422536322
BAR_190627_1041_0014,1.45,1.2147803493065363,1.1732482358451173,1.2259197309063996,1.3885662725169432,1.1940142925758268,1.1938336993749208
BAR_190627_1041_0015,1.34,1.1326908029154348,1.103214543357797,1.164790615122619,1.265456544095362,1.1179526731366158,1.1178555214802706
BAR_190627_1041_0016,1.48,1.3943062064432916,1.3770932362302788,1.3795500848912916,1.4858209528805624,1.3856997213367852,1.385672993937226
BAR_190627_1041_0017,1.61,1.5159567023859597,1.4856239848917276,1.5778235689128202,1.5792999671918952,1.5007903436388437,1.5007137092470209
BAR_190627_1041_0018,1.72,1.5837687433188499,1.5407398918199628,1.6794346242470133,1.6689369489775547,1.5622543175694064,1.5621061686866624
