Raster,Red,Green,Blue,NIR,FC,c_depth,CH,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
SLM_150711_1035_0008.tif,0.037194444274902344,0.05495679016113281,0.0305543212890625,0.4080808715820312,0.40625,0.7686368656158447,1.2050885319709776,0.8352791977766415,0.5174571740967606,0.6639188934412759,0.6220581234169786,0.590951716338637,0.6144650148817492,8.701549905619736,3.285879041514126,2.9105326520559247,11.141759448908605,2.56
SLM_150711_1035_0009.tif,0.04167901153564453,0.058138269042968746,0.03240061798095703,0.41737714843749996,0.4791666666666667,0.9867415428161621,1.4499204754829407,0.8191552916109279,0.5487619105635696,0.6614305295857412,0.6198404392139276,0.5885790624732395,0.6066840749752425,6.241360522580921,2.93117811688992,2.72413356021718,10.059215343041721,2.18
SLM_150711_1035_0010.tif,0.04064444580078125,0.0585654296875,0.03223580322265625,0.4236271484375,0.4253472222222222,0.7713986206054688,1.2948964214324952,0.8263114780000478,0.5238651251909925,0.6731990269280236,0.6312866453925094,0.5975603672829527,0.615848864016533,5.997847020675084,2.7845657615269173,2.8039691008134016,10.514865674316411,2.58
SLM_150711_1035_0011.tif,0.04001296234130859,0.05503333435058594,0.029079013061523436,0.31032777099609377,0.3506944444444444,0.7249251937866212,1.1981294691562654,0.7740122655941379,0.46623346814238864,0.5086749092911115,0.48170284185740564,0.4782025148938369,0.5311847657010098,-3.257360455446938,7.7402620186420545,2.3026160788003116,7.850081892049715,1.74
SLM_150711_1035_0012.tif,0.04623333282470703,0.061564199829101565,0.032870988464355475,0.4053197509765625,0.3541666666666667,0.4223902893066409,0.8971630889177322,0.7934300856375043,0.47475648866328274,0.6189075318014757,0.5894324508966944,0.5634743375337464,0.5833913452855314,8.162707561824998,2.9563606605707284,2.4688241009375598,8.681952950746698,1.42
SLM_150711_1035_0013.tif,0.04578209838867188,0.06094629516601563,0.03273888854980469,0.37895123291015625,0.3784722222222222,0.7385532760620119,1.1499886333942413,0.7830645328008001,0.4828265072058584,0.5819184291983772,0.5497964136357597,0.5328760917977846,0.5640694520345383,6.598696795568808,3.53009744988825,2.377646430677088,8.219331645117148,1.23
SLM_150711_1035_0014.tif,0.05344320983886719,0.06563086242675781,0.0345956787109375,0.37087099609375,0.4270833333333333,0.7475627660751334,1.2822245717048648,0.7438100809783259,0.48954388875116006,0.5469428349728607,0.524990636795408,0.5109446875429947,0.5385011631127683,8.517214821627181,3.2862399651843592,2.0782417423355786,6.806709210060703,1.8
SLM_150711_1035_0015.tif,0.05064012298583984,0.0636351837158203,0.03505431976318359,0.380758642578125,0.4097222222222222,0.8723467588424683,1.3703958451747895,0.7627874849298915,0.4896143167421083,0.5704391692680593,0.5414793566713181,0.5246245956934003,0.5527390919281939,7.416987323726152,3.2958170463924317,2.2148779755297285,7.431260073206049,1.92
SLM_150711_1035_0016.tif,0.06071481323242187,0.06829382934570312,0.03690370483398438,0.3470456787109375,0.2899305555555556,0.6723907089233405,1.201757140159607,0.6982136854442176,0.41545431505066727,0.49123467451634295,0.47194329122804096,0.4660111184602762,0.4971525768965645,-7.7110651084224635,3.8282318586608106,1.7974366142117733,5.627205752997519,0.74
SLM_150711_1035_0017.tif,0.04505802459716797,0.0612456787109375,0.034258642578125,0.44316171875,0.3888888888888889,0.6451792049407956,1.0963610363006593,0.8161203749341573,0.5007134791410612,0.6853941316028005,0.6428603084033324,0.6049504702436765,0.6140318816508332,4.712035130655671,2.4436105143564406,2.6915499713980298,9.87668260803805,3.14
SLM_150711_1035_0018.tif,0.04699259338378906,0.061474072265625,0.03471975402832031,0.4055283935546875,0.3802083333333333,0.7018858337402349,1.2217772579193114,0.7958458725540132,0.4885247327939738,0.6319909395218432,0.5927751132745567,0.5665703250034742,0.588128871288007,6.746184767059318,2.8270421441103117,2.490949275096551,8.796520036212058,1.97
SLM_150711_1035_0019.tif,0.03934320983886719,0.0562283935546875,0.03139012451171875,0.387543212890625,0.3732638888888889,0.7401920890808107,1.1966257405281062,0.8179406204564403,0.49332853020509493,0.6294943597944771,0.5909684336691156,0.5664752663013853,0.5955851011639448,6.92552356558065,3.5982108416384175,2.711004542459032,9.985426870146384,2.65
SLM_150711_1035_0020.tif,0.036553703308105465,0.053819754028320316,0.030225308227539063,0.3646716064453125,0.2673611111111111,0.5479229545593256,1.0075199127197265,0.8200134463585659,0.43903137281114435,0.6053576916254046,0.5660290193982549,0.547145117772804,0.5866342802091633,-11.334671794401396,5.13834155069052,2.7334812406356663,10.111949463861047,1.28
SLM_150711_1035_0021.tif,0.042691357421875,0.05894074096679688,0.032940740966796875,0.417869140625,0.3871527777777778,0.5993147563934329,1.0948712205886841,0.8152698202628239,0.4994881422198086,0.6532741665452065,0.6140268110707966,0.5831777440619796,0.6040628042107942,6.894620949346275,2.835939980993736,2.6825476020612413,9.826601277850163,2.0
SLM_150711_1035_0022.tif,0.03941172790527343,0.05579444580078125,0.03172839508056641,0.39652221679687505,0.3576388888888889,0.579473304748535,1.0078794926404953,0.8178129870802336,0.48519006135161136,0.6362256560025867,0.5970443542127579,0.5710052094919162,0.596314629166091,12.199320475848761,3.401443349012796,2.7096320269559184,9.977732126811857,1.99
SLM_150711_1035_0023.tif,0.03196481475830078,0.05107962951660156,0.028061727905273438,0.39216976318359376,0.1701388888888889,0.41710440158844,0.8602698642015457,0.849119134364531,0.3934265193884098,0.6536054005033867,0.6117042649009148,0.5832440987338031,0.6154787534062323,20.143183527142746,3.9442238028626018,3.0914807239292217,12.255491358358128,1.78
SLM_150711_1035_0024.tif,0.03518641967773438,0.052584570312499995,0.029634567260742185,0.3890111083984375,0.25,0.7019684410095213,1.1828924989700318,0.8366845963568941,0.4341711490892235,0.6445741686129554,0.6022859330793018,0.5759163413059939,0.6076392299745522,11.72512125025266,3.9739139395272294,2.9279471292674693,11.246244254861203,2.14
SLM_150711_1035_0025.tif,0.04622098846435547,0.060024691772460934,0.033950617980957026,0.3941302490234375,0.3263888888888889,0.7383003759384152,1.2368396389484406,0.7846550741707802,0.45818603115296297,0.5888648985512298,0.5592889875127773,0.5389079130529223,0.5634170306211472,7.110828372333808,3.121477509732418,2.3912592319076724,8.287433880897968,1.68
