Raster,Red,Green,Blue,NIR,FC,c_depth,CH,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
BAR_190627_1041_0001,0.06189673767089844,0.0625345489501953,0.008709496307373048,0.29930260009765625,0.4392361111111111,1.429446716308604,1.9726028442382808,0.6572710345855621,0.45692633984400555,0.3697077223685298,0.4099269264822248,0.41350332962731573,0.4554991636082642,-3.0224800985354445,18.595851124177212,1.5877571843730207,4.835514945699267,1.47
BAR_190627_1041_0002,0.06817661743164063,0.06493424072265624,0.008981748580932616,0.30152570800781253,0.3836805555555556,1.4745758056640597,1.9463165998458862,0.6311810192126799,0.42706771744097616,0.3550175329686225,0.39816598283499716,0.4024637230760466,0.4405287259831834,-3.3428623961319635,10.324685136993322,1.469813718367931,4.422714405127923,1.5
BAR_190627_1041_0003,0.07284740905761719,0.06465214538574218,0.009800435638427734,0.28831030273437497,0.2743055555555556,1.5506260681152355,1.9885388767719274,0.5965894860936904,0.3813561437548665,0.3260851197070835,0.36815050541385086,0.37530214975674797,0.4134312681201477,-2.5504823460050337,19.904806782385815,1.328363662046372,3.9577289908326287,1.18
BAR_190627_1041_0004,0.07603839721679688,0.06986636047363282,0.010478807067871094,0.29189273681640626,0.3072916666666667,1.5596243286132818,2.0244390392303466,0.5866704924735455,0.38809145341634993,0.3232258065780926,0.3660074466369384,0.37304976939221957,0.40886836499025964,-2.826199849733062,11.214634392637782,1.2905090003204278,3.8387544648551213,1.16
BAR_190627_1041_0005,0.07889491271972657,0.06866947021484375,0.010746395492553712,0.2891998291015625,0.13020833333333334,1.447567901611336,1.9468006086349487,0.571333660843054,0.335329903755606,0.31258695002294407,0.3555937488753649,0.36339049112417704,0.39823330877436486,-2.703657216134362,11.027912263350334,1.2340851279308984,3.6656334246663302,1.19
BAR_190627_1041_0006,0.06906549987792969,0.06512059631347657,0.01038732795715332,0.2895798583984375,0.3854166666666667,1.4612799835205124,2.0993117928504943,0.6148535131760507,0.4213497915366029,0.33903005955877547,0.3788028987724145,0.385224859824256,0.42517368564398433,-2.565994393454157,26.88249431691191,1.4011146896040687,4.192829399776407,1.65
BAR_190627_1041_0007,0.07041242065429687,0.06526988525390626,0.01037288932800293,0.2847898681640625,0.3836805555555556,1.628565979003909,2.184989166259766,0.6035362221987042,0.41646094636443337,0.3289071710324525,0.36865532445029686,0.37601182254663895,0.41610344550574563,-2.33553386374802,63.26886548250024,1.3555532434007584,4.044597040091724,1.38
BAR_190627_1041_0008,0.06896537475585937,0.06467007446289062,0.00964944534301758,0.2909167236328125,0.1892361111111111,1.8123141479492233,2.12487566947937,0.6167335076424005,0.35993741724482925,0.3399285731811693,0.3809843191010458,0.38717752577859194,0.426926315725953,-2.6393446896184485,22.557846057651588,1.408841436276692,4.2183012078549735,1.17
BAR_190627_1041_0009,0.08159827270507812,0.07328738708496094,0.011721289825439452,0.2874795166015625,0.2708333333333333,1.760491180419919,2.099124681949615,0.5578261544355144,0.3698279168262852,0.3047096003054044,0.3469950623930264,0.35534433124922904,0.38913227517317045,-2.6414078139845594,10.282861687927673,1.1863623221271604,3.523107868233977,1.14
BAR_190627_1041_0010,0.0900776580810547,0.07665267333984374,0.01206992530822754,0.2800312255859375,0.171875,1.6522146606445176,2.0856541967391964,0.5132369848106503,0.3366501067643305,0.27450370133445273,0.31738960775588926,0.32746516741274034,0.3583293420606195,-2.314537550504,9.315942531355653,1.0403372678151688,3.1087756004264304,1.35
