Raster,Red,Green,Blue,NIR,FC,c_depth,CH,vol_cd,VOL_CH,BNDVI,GBNDVI,GNDVI,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
RIP_180805_1044_0001,0.049216409,0.061899725,0.036931772,0.444343457,0.460069444,0.888748474,1.353728361,1.47198966,2.242112598,0.846525357,0.636097002,0.755454582,0.800565594,0.530294935,0.67535991,0.632218312,0.596532319,0.60457667,4.713312671,2.390767798,2.535197966,9.028359918,2.43
RIP_180805_1044_0002,0.043559956,0.057911646,0.036750497,0.474710205,0.4375,0.699511833,1.184281905,1.101731137,1.865244,0.856292,0.667485984,0.782541233,0.831902511,0.532707349,0.738047936,0.682521971,0.635121599,0.63566153,3.866521132,2.248620493,2.869503905,10.89785768,2.31
RIP_180805_1044_0003,0.041780576,0.055243195,0.034268399,0.446121729,0.449652778,0.799707336,1.314247477,1.294526251,2.127438103,0.85733096,0.665772871,0.779628801,0.828733846,0.537746643,0.702082488,0.653683445,0.613938976,0.62407735,5.171279147,2.542649627,2.832006862,10.67773056,3.41
RIP_180805_1044_0004,0.039637697,0.054422458,0.036033379,0.472174097,0.5,0.785617218,1.291902447,1.414110992,2.325424404,0.85819422,0.678453523,0.793304922,0.84510831,0.572554155,0.751061675,0.689936737,0.641230517,0.643835675,4.130892549,2.341290331,3.036779862,11.91224855,4.09
RIP_180805_1044_0005,0.03811235,0.053398035,0.034792505,0.471687085,0.53125,0.865219116,1.371461958,1.65473156,2.622920994,0.862610437,0.684964943,0.796611891,0.850481002,0.592443032,0.75303858,0.693428124,0.644050768,0.647320245,4.225105055,2.374885614,3.110508733,12.37622658,4.1
RIP_180805_1044_0006,0.056148322,0.063762134,0.038354562,0.407699829,0.411458333,0.811741638,1.382941108,1.202392302,2.048481516,0.828027419,0.59939825,0.729513137,0.757902143,0.488407653,0.603239993,0.569791866,0.547106161,0.563520958,7.084717049,2.644684768,2.178375084,7.261122291,3.2
RIP_180805_1044_0007,0.048552322,0.060601996,0.037501349,0.402968286,0.467013889,0.706814728,1.240121741,1.188332261,2.084954678,0.829721071,0.608425867,0.73854236,0.784938621,0.526473071,0.627053113,0.583115163,0.55870986,0.579565036,9.726126893,2.972875173,2.393698692,8.299670671,3.03
RIP_180805_1044_0008,0.046953917,0.060845422,0.039450948,0.420305981,0.444444444,0.748275948,1.323377323,1.197241516,2.117403717,0.828383456,0.614691061,0.747084091,0.79902441,0.521788627,0.663785445,0.608860387,0.578984095,0.595211117,6.844120516,2.733829428,2.520596846,8.951457278,3.33
RIP_180805_1044_0009,0.055498029,0.063187463,0.039725842,0.418630176,0.467013889,0.833066254,1.378520846,1.400592639,2.317638173,0.826659449,0.605351004,0.737712121,0.765894422,0.517579166,0.624507308,0.585008044,0.559164819,0.572647841,5.912110933,2.517504047,2.238607859,7.543153993,3.28
RIP_180805_1044_0010,0.05312049,0.062301392,0.038297531,0.433224902,0.470486111,0.702629852,1.222786117,1.190079312,2.071093985,0.837557968,0.623100664,0.748544558,0.781552409,0.52656372,0.648767953,0.608862985,0.578049661,0.588082498,5.038543418,2.412738632,2.364827542,8.155514123,3.42
RIP_180805_1044_0011,0.051015176,0.063315729,0.03699155,0.452092773,0.385416667,0.557729836,1.074837382,0.773850147,1.491336867,0.848731403,0.636831032,0.754308559,0.79719988,0.49162912,0.677154065,0.636821467,0.599752395,0.604845104,4.252745576,2.283268018,2.503503011,8.861927086,3.13
